features,reg,F1,Precision,Recall
9.061309968,0.353823142,0.049233729,0.037478477,0.134852284
58.49676837,0.237203119,0.052141176,0.039607616,0.144525888
4.131794681,0.098127826,0.048209764,0.036718543,0.130552588
98.98184103,0.043096107,0.052234808,0.039678808,0.144822073
64.82652996,0.154303743,0.052514235,0.039816225,0.146419574
86.78368078,0.398315261,0.05226701,0.039763245,0.144154454
73.29088149,0.385123996,0.052205228,0.039733444,0.144576796
72.42167776,0.075040429,0.052333104,0.039812914,0.144291644
82.24836661,0.137931142,0.052581258,0.039862583,0.146369964
55.61269731,0.264215161,0.052435313,0.039880795,0.144841952
90.39963444,0.15147569,0.05249607,0.039846026,0.144339788
61.49316563,0.125374961,0.052133522,0.039586093,0.144592335
45.69477376,0.127755923,0.051949375,0.039392384,0.143417086
98.77881196,0.148911252,0.052082818,0.03943543,0.144789088
21.53374013,0.090050995,0.050840905,0.038698675,0.139293614
60.23756405,0.104223949,0.052200975,0.039645695,0.144955029
85.42286331,0.31575727,0.05257943,0.039826159,0.146779441
99.85145083,0.221222524,0.052014197,0.039574503,0.143544857
19.89740799,0.033083183,0.051400249,0.039059603,0.141891374
60.8663377,0.170861519,0.052348056,0.039763245,0.144425905
43.85052308,0.304050103,0.052321449,0.039751656,0.143974265
82.72610347,0.306464585,0.052607417,0.03984106,0.145833134
76.54885197,0.2014543,0.052307045,0.039728477,0.144821485
81.07844004,0.278632415,0.052380285,0.039688742,0.145555601
33.67737626,0.192611682,0.051704394,0.039336093,0.142543437
93.0732656,0.349068289,0.052455548,0.039834437,0.145647486
68.03393173,0.010134678,0.051930869,0.039518212,0.14272893
79.67823506,0.275215451,0.052268198,0.039771523,0.14440894
38.67613195,0.358735772,0.052166544,0.039680464,0.142917542
69.12451602,0.244195056,0.052124738,0.039521523,0.145120499
52.23533492,0.337310009,0.05239051,0.039647351,0.14746705
95.92828851,0.181186509,0.052283676,0.03968543,0.144456084
83.66851734,0.232073791,0.052224861,0.039549669,0.144582543
90.78727924,0.29682622,0.05211785,0.039574503,0.143845261
76.68833127,0.047760175,0.051929063,0.03940894,0.142682179
28.6948563,0.211130395,0.052099197,0.039614238,0.144061842
1.257309948,0.370770816,0.04842593,0.036246689,0.138344994
50.56762243,0.25188282,0.052447135,0.039756623,0.145639344
67.92207375,0.120831436,0.052068652,0.039506623,0.144022519
10.02039066,0.078544698,0.050239575,0.038245033,0.137565824
87.94163117,0.334144989,0.052470205,0.039837748,0.145626352
55.48751705,0.056400558,0.052357338,0.039768212,0.145405537
75.43379869,0.396074801,0.052435256,0.039769868,0.145525631
93.96641576,0.139391999,0.052364121,0.039839404,0.143751585
63.94987695,0.105010075,0.052646169,0.039955298,0.145517507
46.72244186,0.168737252,0.052190619,0.039607616,0.144543038
65.21282388,0.010830505,0.052088659,0.039491722,0.144478649
55.90208966,0.09757882,0.052217326,0.039544702,0.145605653
72.30059515,0.115188546,0.052509505,0.039769868,0.145949799
40.49937589,0.062557465,0.051529754,0.039216887,0.142186917
87.61620422,0.029192851,0.051920224,0.039350993,0.144555003
63.36513554,0.256578696,0.052705862,0.040051325,0.147328576
63.7746758,0.158970857,0.052393528,0.039672185,0.14695284
27.25648241,0.229814241,0.051353678,0.03905298,0.141145838
57.09112741,0.256451128,0.052444355,0.039821192,0.145584287
35.24553919,0.192625563,0.052070166,0.039562914,0.144276919
9.267957919,0.083460771,0.049559462,0.037700331,0.136018255
16.31505418,0.278072914,0.050654673,0.03847351,0.139782644
44.82036893,0.136183904,0.051898729,0.039461921,0.143975043
52.73921466,0.215520516,0.0521216,0.039581126,0.143397083
61.68248646,0.111538771,0.052212075,0.039730132,0.143637643
73.11788697,0.320668687,0.052120571,0.039533113,0.144507879
48.62932476,0.023300384,0.051749739,0.039327815,0.142339521
41.51217482,0.064217847,0.051943398,0.039410596,0.144452707
