features,reg,MAE
58.95903156,0.231062805,0.677335559
56.23355871,0.230881432,0.677399921
58.03074383,0.253906281,0.677603484
55.33485777,0.347757581,0.677824743
42.23478837,0.251573767,0.677943194
54.20517457,0.120421243,0.677964037
47.9492199,0.33115206,0.678250508
91.78204094,0.360822574,0.67849559
81.33909765,0.293622177,0.678501243
97.55778403,0.349876377,0.678506411
89.33795817,0.17677366,0.678549743
77.76453191,0.169380962,0.678563058
19.30346074,0.355124718,0.67857024
37.59815837,0.386036377,0.678580792
45.45556665,0.27210719,0.678608909
61.68517367,0.211598732,0.678653587
41.24789286,0.284616086,0.678715002
94.69470448,0.019122978,0.678784623
38.91508995,0.171625567,0.678792837
53.65032954,0.127197748,0.678825033
61.74565243,0.278149759,0.678845775
33.33940749,0.372126595,0.678869668
42.77882917,0.33095112,0.678874393
32.99354925,0.254376073,0.67888087
67.88902614,0.238955243,0.678882996
65.90336513,0.183286742,0.678917229
69.61594141,0.339757492,0.67892829
82.12236693,0.024540185,0.678993361
63.8075743,0.056183537,0.679026176
93.1953614,0.014156863,0.679064155
57.95968222,0.232673393,0.67907451
35.08658371,0.067038183,0.679210633
28.38200382,0.224554109,0.679236488
58.4037528,0.35869575,0.679259922
45.11728955,0.08507255,0.679272177
74.54775739,0.212009885,0.679309085
47.83059778,0.316527484,0.679322808
50.78111878,0.307089518,0.679324343
65.0254054,0.383992961,0.679355873
36.38386253,0.300590425,0.679359458
44.00590046,0.077899359,0.679387511
47.66762368,0.343816313,0.679389818
21.23409502,0.096855119,0.679413139
77.61756772,0.105024526,0.679481818
77.1606503,0.068064298,0.679490865
57.50283531,0.30834211,0.679499251
87.34385666,0.270847248,0.679523234
70.94975284,0.119850061,0.679551009
36.02119832,0.338981932,0.67959119
79.94004884,0.190889393,0.679630049
75.05738095,0.215340526,0.679757012
25.11006668,0.221059042,0.67984746
68.87992366,0.15414375,0.679852234
52.19440465,0.397185649,0.679878327
15.13974221,0.326106678,0.679925148
63.3981398,0.189053133,0.679934195
29.19130094,0.23160164,0.679948009
83.80029121,0.323524603,0.679960619
50.22791595,0.103272328,0.679964781
20.52537153,0.261467635,0.67998395
25.62772478,0.185921421,0.679988051
18.82193298,0.025099546,0.680013887
71.56031049,0.050557365,0.68002568
99.79025184,0.136290845,0.680091443
79.81510202,0.141053966,0.680120711
68.55184331,0.085804943,0.680149774
53.09473001,0.286574148,0.680186901
53.31074475,0.398705338,0.680292203
50.20158101,0.292706306,0.680298075
74.34684311,0.113746787,0.680342709
49.31652069,0.315650694,0.68044765
56.15147914,0.147192034,0.680468802
46.61601979,0.193851718,0.68051848
31.026058,0.15711329,0.680555601
56.42733039,0.248885307,0.680558542
56.25666948,0.377298252,0.680585601
86.74319517,0.217305395,0.680645182
75.31063724,0.189617863,0.680669519
65.33282562,0.245025549,0.680763542
59.66651071,0.299326154,0.680770279
24.43344165,0.161195256,0.680869152
55.11107694,0.030109675,0.680924701
39.41292359,0.233573848,0.680967026
41.59545853,0.241738869,0.680977681
72.88476093,0.261761698,0.681007357
96.64454828,0.262121369,0.681078232
66.85088611,0.199627216,0.681087931
59.11019918,0.261323043,0.681099692
60.62976902,0.372148307,0.681155066
40.40278677,0.038801177,0.681235582
85.3860863,0.200580443,0.681285991
29.09398319,0.091227141,0.681369138
63.93036349,0.162342212,0.68140066
83.89235333,0.313113109,0.681421854
11.11607311,0.399484303,0.682081729
62.62832634,0.273878579,0.682282741
