features,reg,RMSE
76.62857941,0.307519248,0.86049929
39.3069811,0.388922774,0.86108296
34.13225201,0.236578987,0.861510029
46.96179844,0.267207965,0.861675245
20.34460339,0.338105039,0.861794985
92.06872433,0.180069532,0.861900592
52.08795414,0.314531504,0.862234032
55.7082738,0.229917208,0.862412897
55.43272994,0.246496292,0.862457262
66.6258638,0.2701005,0.862504604
89.50968207,0.165518597,0.862560624
65.1180668,0.039462162,0.862857643
17.03489484,0.281324842,0.862966896
89.04032144,0.254688128,0.86300503
24.7462037,0.032763862,0.863142165
40.8977181,0.363821196,0.863294751
61.50280446,0.350182736,0.863406245
49.58440725,0.10200142,0.863406383
58.07039213,0.165156462,0.863423342
73.64049499,0.145794242,0.863503205
61.4456392,0.306417494,0.863511554
18.30991432,0.34321701,0.863530777
54.41509143,0.173755592,0.863548099
66.07988332,0.345485074,0.863618369
96.7662957,0.25146924,0.863696693
30.81123775,0.133047763,0.86372857
82.14570414,0.023652786,0.863771879
35.35500975,0.399590395,0.863800863
48.21972733,0.151214116,0.863812214
56.94419823,0.236462999,0.863834509
26.20676002,0.17532897,0.863891699
17.64508266,0.070167859,0.863894352
12.04131849,0.323554261,0.863913697
33.812446,0.239925296,0.863939132
39.26492334,0.379990296,0.863992183
61.34219236,0.346175285,0.864002624
96.2860357,0.280989906,0.864009554
29.88408564,0.388018492,0.864042319
96.62668754,0.184222544,0.864185009
70.38714069,0.070500351,0.86421499
71.99659868,0.327769212,0.864218502
83.28196038,0.357686759,0.864220408
42.70800621,0.222991128,0.864259912
64.49895053,0.100091071,0.864272415
24.54817974,0.384743775,0.864274654
76.36857872,0.393843905,0.864313988
69.96762301,0.378207401,0.864316495
76.2885046,0.318512656,0.864328385
78.51109478,0.067579557,0.864347666
61.89582451,0.13242268,0.86436872
40.08088388,0.370913059,0.86439315
20.87819061,0.3427169,0.86446697
93.21760468,0.050628564,0.864476061
99.37054259,0.114428227,0.864490512
22.46481002,0.354360521,0.864506089
99.71168158,0.281358195,0.864530896
44.28687961,0.016761343,0.86458521
52.99247737,0.096103686,0.864594697
63.4152257,0.118229554,0.864639413
52.52546253,0.359942585,0.864666611
31.04518538,0.253434593,0.864698446
68.44277709,0.124010857,0.864728687
92.21488,0.354724945,0.864737524
20.6768121,0.242624806,0.86477119
53.48172602,0.157172472,0.864785632
10.7761714,0.251765046,0.864884251
82.79896842,0.330810583,0.864886118
27.6871732,0.140198717,0.864907983
64.05590465,0.087779908,0.864923399
60.59162232,0.303665127,0.864962539
79.68752005,0.143099138,0.865012764
37.31436342,0.383856417,0.865200733
25.0597214,0.295558199,0.865319394
17.08681183,0.234028116,0.865381378
74.78419691,0.286073038,0.865423237
47.01146071,0.079644855,0.865423584
79.61113905,0.191572028,0.865662135
44.75472659,0.197821677,0.865677105
89.08898131,0.182899599,0.865804951
32.18782503,0.313866185,0.865895543
36.24820202,0.073881178,0.865907283
86.89036138,0.214141158,0.865916238
37.35090188,0.19384859,0.865959781
84.64773274,0.225201758,0.865969247
34.99259967,0.264435834,0.866129693
99.71054098,0.398928732,0.866201322
9.136017709,0.199521156,0.866284151
94.92662448,0.096095899,0.866550356
14.03956505,0.211824863,0.867001793
68.12363167,0.309270801,0.867147744
15.6769128,0.396495254,0.867585529
19.36122854,0.269364858,0.868398217
7.887526572,0.189497973,0.86898145
6.554358979,0.336650179,0.869588476
6.468764862,0.357584019,0.87084079
