features,reg,weight,F1,precision,recall
75.9209644,0.324556049,20.20668014,0.167071779,0.119084437,0.504741165
12.56719387,0.185993801,75.38574661,0.122297036,0.086544702,0.383514844
50.95899267,0.212411265,20.73576168,0.169141408,0.12115894,0.507135936
47.57276394,0.066356675,37.57865008,0.149146957,0.104637417,0.468203001
70.31440701,0.325259335,84.80964225,0.124737493,0.084511589,0.417984308
91.4666701,0.048742461,30.24845354,0.156636146,0.110046358,0.484139889
78.81266158,0.285100873,78.79058317,0.128732292,0.087786424,0.422457004
62.87259968,0.20652221,9.085462291,0.190202306,0.139039735,0.549711786
93.24690504,0.079785225,78.64071172,0.132587038,0.09089404,0.426486109
58.1417517,0.115802774,11.61165475,0.184365851,0.133971854,0.539144316
63.08052825,0.2333614,60.48037253,0.133089008,0.091317881,0.436102223
56.12167469,0.17947929,37.12443432,0.148655089,0.10405298,0.468464442
40.68002042,0.147177589,65.20963098,0.127746593,0.087756623,0.424228079
25.10190443,0.327665126,97.91900637,0.110586748,0.075743377,0.37829512
75.86669772,0.062674521,61.58987672,0.134271841,0.092220199,0.43540156
33.89779518,0.176999124,91.57662235,0.114833205,0.078299669,0.392666531
36.31705906,0.173445257,73.09194623,0.123556574,0.084788079,0.41474311
9.368528413,0.162382906,91.86161703,0.109683262,0.077602649,0.345860199
13.73858705,0.13434978,50.2280617,0.139668853,0.099915563,0.426555014
66.28104258,0.172819111,98.54849485,0.120525795,0.081326159,0.408458976
58.53034275,0.113294224,3.382042526,0.20572438,0.152832781,0.575450165
85.49170387,0.25920292,0.924504264,0.210568775,0.157352649,0.580830669
86.61599071,0.014950279,4.552376677,0.198401282,0.146183775,0.563436884
84.13604311,0.370140462,1.186249155,0.209786042,0.15655298,0.580266497
97.95125656,0.379180269,0.722158483,0.208573667,0.155743377,0.574442994
99.60280672,0.388722229,18.56198166,0.169359875,0.12094702,0.507857118
84.72103978,0.258460369,13.50492425,0.177486578,0.127892384,0.524732155
83.06829954,0.363928662,28.78530829,0.157095505,0.110584437,0.484911029
74.74801293,0.273232283,45.69384872,0.14316365,0.099264901,0.456261194
92.76374769,0.358181799,0.17351879,0.207716279,0.155756623,0.565629438
70.84599884,0.310967288,22.99629175,0.163759157,0.116317881,0.497449273
99.81343864,0.234780974,15.95611017,0.173107879,0.124044702,0.51697963
80.44368542,0.298730039,24.69733833,0.16110444,0.114016556,0.492826464
47.49681914,0.341822189,6.392937146,0.198963355,0.146743377,0.565164463
1.611334932,0.232782885,38.05578982,0.1071091,0.082033113,0.29494194
92.26692061,0.252947181,50.52814917,0.14270543,0.098864238,0.451223141
87.4068436,0.393386603,31.13162696,0.155366444,0.109056291,0.481409901
70.53092943,0.291873233,7.941960932,0.191886285,0.140438742,0.551945205
45.42429548,0.338573166,44.39517263,0.141982113,0.099046358,0.452213984
52.11197277,0.214715487,16.02174411,0.176718749,0.127521523,0.523387962
78.39330775,0.198011264,26.03169756,0.16027734,0.11319702,0.492314952
24.15737669,0.312639501,10.05429856,0.189040089,0.139523179,0.536342906
65.10642916,0.273171542,33.92531878,0.151867456,0.106392384,0.47519953
97.37847239,0.35523098,0.238142363,0.207256932,0.155087748,0.567972392
90.16968941,0.375718387,19.7991582,0.168059381,0.11965894,0.507419497
53.89807419,0.091477277,67.50866332,0.128179937,0.087519868,0.426563105
72.62311268,0.397339688,41.80608729,0.145413028,0.101003311,0.461715328
60.16652085,0.219642737,53.45705337,0.13687614,0.094508278,0.441562791
79.80032377,0.258827596,55.69903446,0.137954625,0.094993377,0.444568077
67.8147132,0.32351444,85.39280308,0.124450062,0.084400662,0.416224199
95.49372688,0.0363816,11.62926912,0.1800239,0.130173841,0.528958245
39.68809845,0.196241359,71.64167337,0.124161861,0.085130795,0.41566573
87.17674586,0.154380694,3.888138109,0.200584272,0.148150662,0.567436693
27.16238242,0.131163948,34.98415279,0.15512248,0.110529801,0.473247153
61.26539301,0.282876871,14.99088844,0.177759039,0.128241722,0.526665576
75.71598235,0.304078481,21.29541573,0.165568038,0.117713576,0.502618674
82.19114335,0.336408248,27.53897998,0.158952651,0.112124172,0.489314091
31.3961683,0.373052401,58.54921838,0.132822645,0.092369205,0.432035066
55.04219154,0.248300126,79.06083706,0.123106274,0.083710265,0.414125491
90.0328242,0.095262158,40.14041982,0.148270205,0.103539735,0.46269331
45.07838281,0.272118639,31.38552177,0.155627174,0.110004967,0.481048139
65.23307093,0.353213235,2.018114668,0.209718401,0.15638245,0.58323174
16.8252938,0.224696636,7.297831089,0.187032235,0.139458609,0.520092942
95.76157492,0.322769648,18.57789493,0.169421465,0.120902318,0.510179649
68.23184915,0.188056646,46.09119302,0.141931722,0.098248344,0.454606631
63.93975317,0.350226335,3.143327171,0.20721513,0.153915563,0.579505554
84.50539783,0.383922204,0.538080673,0.211535476,0.158377483,0.581117228
84.88119133,0.387119174,11.53065338,0.181382841,0.131374172,0.532300778
77.46052164,0.370065562,5.822326697,0.19559112,0.143899007,0.557325743
72.85765094,0.243431985,23.52562112,0.163170727,0.115812914,0.495009803
81.59410753,0.31468924,0.202762065,0.210599289,0.158110927,0.573956077
88.81775771,0.285405336,9.277869478,0.185528094,0.134996689,0.539974778
93.6782775,0.312021405,0.337559838,0.20911599,0.156556291,0.573546431
81.58047041,0.261258452,12.92618968,0.178716781,0.129041391,0.528173632
58.84958679,0.332265753,17.38442231,0.174245528,0.12517053,0.520126882
49.54439066,0.318680214,21.48841456,0.16839224,0.120501656,0.507843521
98.55642165,0.297815444,5.291978448,0.193990673,0.142544702,0.554257271
73.53237243,0.267042293,14.81949595,0.176089969,0.126769868,0.523029652
77.14119547,0.204547071,8.489320052,0.188782625,0.137769868,0.545805486
37.55423827,0.243435136,73.71672756,0.122514745,0.08386755,0.413514628
18.40334674,0.074677117,41.1522876,0.149227253,0.106769868,0.453377106
55.79258283,0.306889947,78.44144251,0.123698536,0.083970199,0.416846762
47.98250327,0.234087542,70.43080738,0.125302747,0.085561258,0.421564148
20.56322939,0.243473959,78.95512983,0.121037047,0.084251656,0.397063382
72.08496786,0.239702846,49.76893037,0.139803604,0.096514901,0.45048113
73.25802475,0.238126218,75.17443881,0.128466485,0.087751656,0.421396939
65.5676199,0.125041921,88.29125454,0.12325084,0.083369205,0.413727419
47.46722724,0.386313827,74.36443804,0.123542715,0.084173841,0.417894118
89.96510333,0.390401496,33.96008058,0.152807544,0.106986755,0.474743907
52.19463397,0.183721162,2.122122377,0.211012049,0.15744702,0.585043391
37.19319901,0.231876973,37.05324158,0.150475282,0.106160596,0.469145919
64.03219371,0.076172683,52.94384029,0.137324998,0.094733444,0.44264161
62.78420299,0.3496945,75.30063743,0.125747208,0.085602649,0.42000669
39.11059407,0.115317198,94.84966242,0.114279874,0.07739404,0.393942079
62.74871611,0.088755069,57.47984486,0.133943483,0.09210596,0.437100638
45.7388975,0.111441385,55.56035847,0.133177429,0.091951987,0.435334053
75.04156656,0.313203094,86.62476612,0.126072402,0.08568543,0.418649929
4.846657374,0.027091618,90.96007839,0.10295551,0.074531457,0.308348916
2.479778974,0.298365334,47.19323826,0.102549978,0.075470199,0.291646743
20.21201638,0.137815406,21.76299275,0.169870101,0.123614238,0.494254112
